Afghanistan,2201,61995,7082,5637,23701,1563,530,5015,1210
Albania,1181,12904,815,329,161,13,0,57,3
Algeria,2762,97931,7528,8201,8756,292,0,459,92
Andorra,84,169,39,16,0,0,0,0,0
Angola,33,25724,3934,2464,18189,2520,10784,974,2906
Antigua and Barbuda,5,200,11,36,4,1,0,5,3
Argentina,43319,101725,19348,15665,3272,453,0,2881,1255
Armenia,2828,13507,1323,449,156,5,0,153,1
Australia,909,51615,11203,5207,487,46,0,322,136
Austria,6261,32998,3406,3367,115,31,0,70,2
Azerbaijan,2670,42138,2006,1386,1825,62,0,372,18
Bahamas,171,869,51,112,21,3,0,111,5
Bahrain,352,1271,161,176,33,3,0,27,3
Bangladesh,7576,324764,70893,12775,40175,2323,110,3954,2282
Barbados,7,905,63,123,20,3,0,33,5
Belarus,1433,75339,2438,500,160,49,0,776,24
Belgium,19581,33627,7400,2965,171,45,0,163,338
Belize,248,464,74,112,57,2,0,114,12
Benin,44,11418,1888,1581,12609,1975,13264,898,783
Bermuda,10,209,18,19,1,0,0,2,0
Bhutan,3,1208,571,147,235,22,0,7,3
Bolivia,9175,15905,3578,4425,3809,134,0,615,810
Bosnia and Herzegovina,4086,18828,1204,658,74,9,0,84,2
Botswana,42,3519,649,444,850,123,14,469,181
Brazil,195541,397993,76551,42336,29661,2008,118,65907,7648
Brunei,3,508,93,78,23,2,0,6,0
Bulgaria,7604,79119,3036,1950,156,39,0,182,4
Burkina Faso,85,22151,2714,2822,19281,5258,26305,2139,3830
Burundi,2,10804,2399,1040,8794,1239,7280,126,1982
Cambodia,2794,30313,4959,2193,4440,129,57,495,457
Cameroon,448,26491,4166,4783,15688,2791,22652,916,899
Canada,15819,82644,18385,7501,915,89,0,552,302
Cape Verde,113,1073,107,105,92,18,9,81,11
Chad,104,13837,2761,1817,17347,4623,7194,1234,2376
Chile,16660,30115,6389,5038,594,113,0,793,550
China,4634,4584273,1085273,196726,44950,6465,0,11970,13099
Colombia,43495,72629,17772,9496,4255,377,55,17061,1287
Comoros,10,1143,167,117,380,70,174,67,62
Congo,108,7096,997,701,2002,284,2102,245,259
Cook Islands,3,58,7,7,0,0,0,0,0
Costa Rica,2185,6664,1425,1372,238,35,0,503,21
Cote d'Ivoire,138,22376,3642,3434,23030,2259,29398,2307,707
Croatia,3961,24721,1878,923,62,17,0,47,1
Cuba,146,39755,4586,2727,180,94,0,642,53
Cyprus,126,3112,541,335,25,3,0,21,6
Czechoslovakia,11711,51294,4062,1317,130,38,0,105,119
Democratic Republic of Congo,591,89906,19997,8034,42976,6147,57160,2891,6029
Denmark,1322,15330,4572,1133,110,31,0,43,48
Djibouti,61,1240,146,136,633,110,97,109,200
Dominica,2,242,22,43,11,1,0,8,2
Dominican Republic,2416,27140,1937,2280,3307,217,5,1993,426
Ecuador,14051,21464,3670,6914,2165,118,1,1907,616
Egypt,7687,263873,22560,21981,5336,764,0,512,634
El Salvador,1327,9695,1514,4083,483,52,0,3047,291
England,74185,153285,42289,6288,1285,218,0,260,94
Estonia,234,8201,303,349,11,6,0,58,1
Ethiopia,1937,76975,13727,9860,77436,11283,13104,7175,8603
Fiji,2,2642,412,292,150,13,0,35,18
Finland,598,25383,2043,706,38,16,0,83,6
France,64777,166496,22060,12700,1142,226,0,538,4581
Gabon,64,2541,308,367,507,86,715,76,63
Gambia,124,2603,424,310,1143,212,637,15,108
Georgia,2528,29709,1222,706,278,21,0,125,4
Germany,34150,364285,45165,35220,1098,216,0,617,616
Ghana,335,39650,5938,4679,16014,3487,21597,774,1858
Greece,4881,55921,6399,4604,140,30,0,130,4
Greenland,,123,32,7,4,1,0,5,1
Guatemala,4820,15882,2529,6018,2834,242,0,6293,1744
Guinea,81,14547,2787,1933,10932,3260,11337,987,1685
Guyana,164,2430,119,285,192,6,17,179,43
Haiti,236,26468,3420,2371,5855,997,453,3519,915
Honduras,3160,15015,3536,3163,1618,109,1,3321,198
Hungary,9667,61818,5936,1821,135,50,0,144,16
Hong Kong,148,29709,1222,706,278,21,0,125,4
Iceland,29,724,111,33,4,1,0,2,2
India,149218,2574410,1168381,222922,438004,34736,33372,40954,13384
Indonesia,22329,651481,100930,42131,38125,4715,637,2261,18641
Iran,55337,173601,16835,12546,7347,577,0,2209,173
Iraq,12824,79952,3292,7887,7270,427,0,4816,91
Ireland,2248,10347,2548,700,74,10,0,32,6
Israel,3356,12393,2027,2765,226,28,0,184,43
Italy,74621,236507,31345,16513,605,185,0,488,565
Jamaica,303,6457,642,939,400,21,0,420,58
Japan,3541,372483,55794,45324,469,407,0,716,1395
Jordan,3851,11798,856,1813,1577,83,0,352,16
Kazakhstan,2749,65391,9772,1873,1593,136,0,1752,84
Kenya,1681,40611,7705,4764,18317,4396,8049,4606,4462
Kuwait,936,4119,230,322,206,12,0,42,0
Kyrgyzstan,1356,17482,1513,489,1307,38,0,297,7
Laos,34,13523,2663,1712,3043,162,23,560,176
Latvia,644,15779,433,263,27,8,0,136,1
Lebanon,1479,16329,1185,1180,400,34,0,216,12
Liberia,83,4299,534,645,2240,432,4587,127,300
Libya,1487,12747,1173,1374,349,43,0,130,14
Lithuania,1837,21301,779,262,29,16,0,150,2
Luxembourg,495,1332,221,119,6,1,0,7,7
Madagascar,261,35397,6030,1938,12504,2084,5920,517,5104
Malawi,191,15650,2402,1783,10220,2369,7076,333,1979
Malaysia,474,58824,7473,6105,1319,291,5,577,230
Maldives,48,522,123,89,75,2,0,10,3
Mali,271,19519,4574,2698,32006,6260,18000,2315,14535
Malta,219,1491,157,105,11,2,0,5,1
Mauritania,349,3952,525,590,1892,217,1997,200,262
Mauritius,10,3309,537,1260,87,5,0,32,16
Mexico,126507,167535,38524,72539,12384,522,1,30673,6745
Micronesia ,2,331,57,49,9,2,0,9,2
Moldova,3004,23438,971,245,142,20,0,208,1
Monaco,3,161,20,8,0,0,0,0,0
Mongolia,1,9806,453,391,565,24,0,288,0
Montenegro,684,3943,85,127,13,1,0,21,1
Morocco,7425,117034,9373,9320,5135,400,0,350,171
Mozambique,167,31692,3759,2645,24317,2729,20528,1811,3362
Myanmar,2697,138139,43284,11554,16065,1246,294,704,1185
Namibia,208,3747,791,349,882,100,192,438,184
Nauru,3,23,3,3,3,0,0,1,0
Nepal,1864,46501,40800,5108,8397,469,1,535,988
Netherlands,11556,42569,10766,3780,308,96,0,144,126
New Zealand,25,11948,2396,915,101,13,0,58,12
Nicaragua,165,8202,1343,3475,630,44,3,395,143
Niger,106,17201,3619,2201,22546,7772,23822,1962,2371
Nigeria,1294,163496,24506,20045,195397,44914,191106,12958,4996
Niue,4,8,1,1,0,0,0,0,0
North Korea,,102586,31704,4318,1855,223,2,827,364
North Macedonia,2510,14023,652,363,113,5,0,44,0
Northern Ireland,6,5024,1436,241,56,8,0,13,4
Norway,436,12724,2771,776,53,19,0,32,93
Oman,1499,4998,244,199,340,14,0,30,2
Pakistan,10258,341108,82758,44390,249785,17987,4031,13446,8452
Palau,4,65,17,13,1,0,0,2,0
Palestine,1418,6710,488,649,812,28,0,307,11
Panama,4064,5318,877,1154,360,36,0,625,119
Papua New Guinea,9,15540,7154,741,4363,599,928,983,202
Paraguay,2262,9912,1148,1883,549,65,0,823,298
Peru,93231,29215,6961,8044,3933,143,19,1142,1171
Philippines,9248,204311,33229,33358,23673,2056,46,15570,3011
Poland,28956,174736,11349,4695,545,135,0,617,101
Portugal,6972,37353,7052,4068,98,36,0,166,126
Puerto Rico,5,8823,1832,2057,108,9,0,696,102
Qatar,611,1121,66,133,81,5,0,27,0
Romania,15841,150427,8106,3043,440,60,0,380,67
Russia,56798,1004931,39390,11652,3556,1143,0,22285,246
Rwanda,94,11826,2520,1266,5635,995,3386,461,1095
Saint Kitts and Nevis,25,157,11,32,6,1,0,10,3
Saint Lucia,5,446,59,71,16,2,0,32,5
Saint Vincent and the Grenadines,68,355,20,46,13,1,0,23,7
Samoa,10,539,105,61,17,2,0,12,4
San Marino,59,98,11,4,1,0,0,0,0
Saudi Arabia,6230,45837,3723,6930,1077,180,1,403,61
Scotland,623,19285,5261,821,85,25,0,48,13
Senegal,410,15981,2763,2447,9388,1563,6740,187,396
Serbia,3250,63769,3865,2517,172,27,0,203,11
Singapore,29,6810,750,758,30,5,0,25,1
Slovakia,2250,26796,1147,758,114,20,0,118,8
Slovenia,2728,7797,639,261,15,6,0,19,1
Solomon Islands,2,2285,347,89,112,17,87,34,25
Somalia,130,18521,3992,1878,19725,4672,3899,2578,7476
South Africa,28887,82661,17827,12353,17138,2221,464,19122,2037
South Korea,942,77481,15506,7979,541,77,2,746,122
South Sudan,63,7114,1331,933,8935,1968,5109,874,2139
Spain,50837,131493,36560,14645,483,155,0,335,302
Sri Lanka,208,46577,13597,5560,1073,297,0,768,148
Sudan,1468,74371,7191,4754,21418,662,2337,626,725
Suriname,123,1423,117,262,131,7,0,49,13
Sweden,8727,36087,4478,1999,125,31,0,120,107
Switzerland,7948,23969,3074,2218,148,27,0,54,76
Syria,717,45682,3249,2661,1086,214,0,300,65
Taiwan,7,41061,9969,8248,334,105,0,343,116
Tajikistan,90,21856,1669,405,2720,125,0,234,2
Tanzania,21,54489,7001,6232,39594,3765,17014,3462,6613
Thailand,63,115830,23925,27446,1692,1037,1,4035,934
Timor,122,2459,516,233,524,31,0,37,58
Togo,68,8361,1332,1004,4518,625,5436,559,220
Tonga,5,178,42,32,12,5,0,2,3
Trinidad and Tobago,127,4016,271,618,125,11,0,316,25
Tunisia,4730,35007,2649,2634,894,85,0,78,22
Turkey,21093,176663,32981,19193,6943,351,0,1605,688
Turkmenistan,,18323,442,712,1113,52,0,214,6
Tuvalu,3,42,7,5,1,0,0,1,0
Uganda,265,28149,5480,3386,30955,3941,22587,2378,3824
Ukraine,19437,449376,12181,2660,1305,399,0,5279,67
United Arab Emirates,671,8621,1778,1433,83,54,0,87,3
United Kingdom,74185,188113,51879,7776,1484,265,0,339,118
United States,353948,957455,224988,106954,10994,1146,0,17709,5710
Uruguay,193,10003,2155,989,148,14,0,212,104
Uzbekistan,614,107394,3837,3971,5257,175,0,974,9
Venezuela,1030,61510,7062,10405,3338,254,667,10944,527
Vietnam,35,240161,36229,21485,6468,747,59,1267,95
Wales,512,10519,2892,426,57,14,0,18,7
Yemen,610,55752,5738,2676,18982,479,5089,820,941
Zambia,390,18157,2388,1931,9851,2065,4777,1616,1828
Zimbabwe,369,17810,2891,2292,8609,1450,2068,1434,2855
